Order_ID,Product,Quantity_MT,Unit_Price_USD,Buyer_Country,Quality_Grade,Order_Status,Order_Date,Shipment_Date,Total_Value_USD
68,Cassia Tora,144.11,1663.7,Turkey,A,Completed,2021-04-02,2021-05-15,239755.81
69,Soya Beans,43.95,475.71,India,A,Completed,2024-10-22,2024-11-15,20907.45
70,Soya Beans,71.91,2229.55,Turkey,B,Pending,2023-08-14,,160326.94
71,Soya Beans,50.21,1744.68,UAE,A,Pending,2025-01-18,,87600.38
72,Cassia Tora,127.8,1029.74,India,B,Pending,2024-12-22,,131600.77
73,Hibiscus,129.82,707.48,Netherlands,A,Completed,2022-05-24,2022-06-24,91845.05
74,Cassia Tora,4.22,1763.21,India,A,Completed,2023-02-15,2023-03-31,7440.75
75,Soya Beans,146.61,320.87,China,B,Completed,2021-02-04,2021-02-15,47042.75
76,Cassia Tora,46.67,2200.87,Netherlands,B,Completed,2021-07-25,2021-08-20,102714.6
77,Soya Beans,160.47,1685.35,India,A,Completed,2024-01-10,2024-01-15,270448.11
78,Cassia Tora,166.73,767.26,Turkey,C,Completed,2025-05-05,2025-06-05,127925.26
79,Sesame Seed,159.6,1829.33,China,B,Completed,2024-11-12,2024-12-06,291961.07
80,Cassia Tora,82.21,878.81,Vietnam,B,Cancelled,2023-10-23,,72246.97
81,Soya Beans,70.31,2246.19,China,C,Completed,2023-10-19,2023-11-12,157929.62
82,Soya Beans,87.59,1756.0,China,C,Completed,2024-11-14,2024-12-12,153808.04
83,Cassia Tora,105.92,2249.88,Vietnam,A,Completed,2022-07-20,2022-07-26,238307.29
84,Cassia Tora,50.73,1905.59,India,A,Completed,2024-02-04,2024-02-08,96670.58
85,Sesame Seed,186.4,1167.34,India,C,Completed,2025-02-09,2025-02-14,217592.18
86,Hibiscus,101.31,2094.18,India,A,Completed,2022-12-04,2022-12-25,212161.38
87,Hibiscus,15.57,2095.78,China,A,Completed,2022-02-06,2022-03-07,32631.29
88,Sesame Seed,199.44,2435.74,Vietnam,B,Completed,2022-12-31,2023-01-23,485783.99
89,Hibiscus,97.34,1661.64,China,B,Pending,2025-04-29,,161744.04
90,Hibiscus,189.45,1811.22,Netherlands,A,Pending,2021-06-11,,343135.63
91,Soya Beans,78.67,1360.12,Vietnam,A,Completed,2021-07-21,2021-08-21,107000.64
92,Soya Beans,45.73,894.2,Turkey,C,Completed,2023-09-23,2023-11-03,40891.77
93,Soya Beans,147.64,481.07,Netherlands,B,Completed,2021-09-27,2021-11-01,71025.17
94,Cassia Tora,87.07,1959.43,Turkey,C,Completed,2023-03-27,2023-04-02,170607.57
95,Cassia Tora,176.41,1333.07,China,A,Completed,2024-07-18,2024-08-23,235166.88
96,Hibiscus,93.43,2158.57,UAE,B,Completed,2022-04-01,2022-05-01,201675.2
97,Cassia Tora,68.33,1250.81,India,A,Cancelled,2025-01-25,,85467.85
98,Soya Beans,193.37,2373.14,China,C,Completed,2024-06-29,2024-07-21,458894.08
99,Cassia Tora,166.24,1117.6,Turkey,A,Completed,2023-10-14,2023-11-17,185789.82
100,Hibiscus,41.91,1258.87,Vietnam,A,Completed,2021-10-23,2021-11-04,52759.24
101,Soya Beans,98.28,1746.2,China,B,Completed,2022-12-21,2023-01-05,171616.54
102,Hibiscus,23.55,998.95,India,A,Completed,2021-12-04,2022-01-16,23525.27
103,Cassia Tora,22.44,1680.85,Vietnam,B,Completed,2023-05-29,2023-06-25,37718.27
104,Sesame Seed,170.83,328.83,Turkey,A,Completed,2023-12-13,2024-01-17,56174.03
105,Sesame Seed,186.43,838.23,Netherlands,B,Completed,2023-03-03,2023-04-02,156271.22
106,Soya Beans,148.03,813.58,UAE,B,Completed,2021-08-05,2021-09-15,120434.25
107,Hibiscus,197.86,544.15,China,A,Pending,2023-02-03,,107665.52
108,Sesame Seed,10.01,2336.13,Turkey,A,Cancelled,2021-07-07,,23384.66
109,Sesame Seed,66.97,2464.73,Turkey,A,Completed,2022-01-15,2022-02-27,165062.97
110,Soya Beans,27.29,388.59,China,A,Completed,2022-05-08,2022-06-07,10604.62
111,Soya Beans,156.62,1277.64,Turkey,A,Completed,2023-12-01,2023-12-04,200103.98
112,Hibiscus,178.19,665.27,Netherlands,B,Completed,2024-03-26,2024-04-01,118544.46
113,Sesame Seed,89.98,2124.97,India,A,Pending,2021-01-15,,191204.8
114,Hibiscus,166.01,624.23,China,A,Completed,2021-03-06,2021-03-29,103628.42
115,Hibiscus,169.68,704.53,UAE,C,Completed,2022-06-05,2022-07-15,119544.65
116,Soya Beans,28.8,1916.81,China,A,Cancelled,2024-09-29,,55204.13
117,Hibiscus,76.02,496.19,India,A,Completed,2024-02-27,2024-03-27,37720.36
118,Cassia Tora,38.42,2388.45,Netherlands,A,Completed,2022-10-10,2022-10-20,91764.25
119,Hibiscus,134.34,1912.95,Netherlands,B,Completed,2025-02-04,2025-02-22,256985.7
120,Sesame Seed,78.08,2449.82,China,A,Completed,2023-12-23,2024-01-06,191281.95
121,Hibiscus,133.89,1283.61,Vietnam,A,Completed,2024-03-08,2024-03-15,171862.54
122,Cassia Tora,175.3,809.02,Netherlands,A,Completed,2025-03-03,2025-03-28,141821.21
123,Cassia Tora,83.14,2358.97,Netherlands,C,Completed,2022-08-16,2022-08-25,196124.77
124,Sesame Seed,194.41,1416.45,India,B,Pending,2022-01-27,,275372.04
125,Sesame Seed,82.31,2390.01,Turkey,A,Completed,2022-02-23,2022-03-18,196721.72
126,Hibiscus,43.53,2397.57,Netherlands,C,Completed,2021-10-16,2021-11-16,104366.22
127,Cassia Tora,106.33,2058.4,Netherlands,A,Completed,2022-01-14,2022-01-18,218869.67
128,Cassia Tora,80.41,796.83,Vietnam,A,Completed,2025-02-22,2025-03-03,64073.1
129,Hibiscus,25.88,814.96,China,B,Completed,2021-08-19,2021-09-14,21091.16
130,Sesame Seed,5.62,1722.7,India,C,Completed,2023-10-15,2023-11-07,9681.57
131,Cassia Tora,149.06,1349.72,China,A,Completed,2021-02-10,2021-02-13,201189.26
132,Hibiscus,186.64,1216.4,Turkey,A,Completed,2023-11-18,2023-12-13,227028.9
133,Sesame Seed,88.65,748.71,India,B,Completed,2021-05-15,2021-05-25,66373.14
134,Hibiscus,14.02,788.16,Netherlands,A,Completed,2021-07-20,2021-07-31,11050.0
135,Sesame Seed,148.39,1102.78,UAE,A,Pending,2023-02-19,,163641.52
136,Sesame Seed,173.55,1688.94,UAE,B,Completed,2023-07-19,2023-08-03,293115.54
137,Cassia Tora,65.41,392.5,Turkey,A,Pending,2023-11-23,,25673.42
138,Soya Beans,45.18,1160.47,UAE,B,Pending,2023-12-08,,52430.03
139,Cassia Tora,68.07,1944.68,Vietnam,A,Completed,2022-05-18,2022-06-10,132374.37
140,Hibiscus,181.75,1226.28,China,A,Completed,2022-02-11,2022-02-20,222876.39
141,Sesame Seed,84.17,1613.23,Netherlands,A,Completed,2025-05-17,2025-05-31,135785.57
142,Cassia Tora,131.18,521.15,Netherlands,B,Completed,2023-03-16,2023-03-30,68364.46
143,Sesame Seed,15.8,2365.49,China,A,Pending,2021-04-09,,37374.74
144,Cassia Tora,57.03,605.79,Turkey,C,Completed,2022-11-15,2022-12-10,34548.2
145,Hibiscus,46.38,1728.01,Vietnam,A,Completed,2022-12-27,2023-01-22,80145.1
146,Hibiscus,13.46,666.31,India,B,Pending,2025-04-20,,8968.53
147,Hibiscus,25.0,2465.31,Vietnam,A,Completed,2023-08-19,2023-08-25,61632.75
148,Cassia Tora,83.9,1692.18,Vietnam,B,Completed,2022-09-05,2022-09-10,141973.9
149,Soya Beans,112.04,1445.06,Turkey,A,Completed,2025-01-25,2025-02-27,161904.52
150,Hibiscus,63.07,2160.02,India,B,Pending,2022-10-05,,136232.46
151,Cassia Tora,84.48,675.83,Netherlands,B,Cancelled,2023-10-26,,57094.12
152,Soya Beans,152.14,1233.95,India,C,Completed,2024-05-26,2024-06-20,187733.15
153,Cassia Tora,50.19,2450.08,Netherlands,B,Pending,2022-05-18,,122969.52
154,Cassia Tora,7.79,1414.97,Turkey,B,Completed,2023-02-06,2023-02-14,11022.62
155,Hibiscus,52.14,1683.82,Netherlands,A,Completed,2022-02-02,2022-03-02,87794.37
156,Soya Beans,184.36,449.87,Turkey,B,Pending,2023-05-21,,82938.03
157,Cassia Tora,4.59,458.32,China,A,Completed,2023-03-06,2023-03-13,2103.69
158,Cassia Tora,26.66,435.6,Vietnam,A,Pending,2022-01-28,,11613.1
159,Cassia Tora,13.95,1378.99,India,A,Completed,2021-07-26,2021-08-08,19236.91
160,Cassia Tora,76.01,1881.34,Netherlands,A,Completed,2023-11-05,2023-12-11,143000.65
161,Hibiscus,129.9,1014.34,Vietnam,B,Completed,2025-04-27,2025-05-17,131762.77
162,Cassia Tora,182.16,1565.5,China,B,Completed,2023-06-11,2023-06-23,285171.48
163,Soya Beans,159.02,1569.51,Netherlands,B,Completed,2025-01-24,2025-02-24,249583.48
164,Sesame Seed,50.89,648.45,Vietnam,A,Completed,2025-05-18,2025-07-01,32999.62
165,Soya Beans,127.33,1951.98,India,B,Completed,2023-05-14,2023-06-23,248545.61
166,Cassia Tora,133.11,1501.85,China,B,Completed,2023-01-13,2023-02-03,199911.25
167,Cassia Tora,19.01,564.1,Netherlands,B,Completed,2024-06-18,2024-07-23,10723.54
168,Soya Beans,86.0,2384.84,Vietnam,A,Pending,2022-07-18,,205096.24
169,Sesame Seed,62.94,842.37,Turkey,B,Completed,2023-10-18,2023-11-19,53018.77
170,Hibiscus,32.27,1208.67,China,C,Completed,2021-04-06,2021-05-01,39003.78
171,Sesame Seed,12.68,2377.89,Vietnam,A,Completed,2022-04-30,2022-05-24,30151.65
172,Sesame Seed,6.4,1031.46,Vietnam,B,Completed,2024-12-01,2024-12-19,6601.34
173,Sesame Seed,171.89,707.17,Turkey,B,Completed,2021-08-19,2021-09-14,121555.45
174,Soya Beans,66.8,2461.48,UAE,A,Completed,2023-01-19,2023-02-06,164426.86
175,Sesame Seed,99.12,2490.48,UAE,B,Completed,2024-04-09,2024-05-18,246856.38
176,Hibiscus,59.03,1813.2,UAE,B,Completed,2022-06-25,2022-07-14,107033.2
177,Cassia Tora,34.01,2267.1,India,A,Completed,2023-11-26,2023-12-29,77104.07
178,Soya Beans,53.0,2497.35,China,A,Pending,2022-06-09,,132359.55
179,Soya Beans,34.83,621.97,UAE,B,Completed,2024-03-29,2024-04-14,21663.22
180,Sesame Seed,151.82,2152.02,Turkey,B,Completed,2024-06-20,2024-07-01,326719.68
181,Cassia Tora,181.6,401.92,China,C,Completed,2024-01-15,2024-02-20,72988.67
182,Cassia Tora,87.47,1717.22,Turkey,C,Completed,2022-08-01,2022-08-11,150205.23
183,Cassia Tora,164.76,1673.05,India,B,Completed,2022-11-13,2022-11-25,275651.72
184,Soya Beans,85.73,1371.51,Turkey,B,Completed,2022-07-11,2022-07-22,117579.55
185,Hibiscus,89.91,1566.29,Netherlands,B,Completed,2025-05-17,2025-05-30,140825.13
186,Cassia Tora,97.54,911.11,India,A,Completed,2023-10-10,2023-10-22,88869.67
187,Soya Beans,164.23,316.12,Turkey,B,Completed,2022-10-08,2022-10-16,51916.39
188,Sesame Seed,187.33,714.01,China,A,Pending,2023-03-07,,133755.49
189,Cassia Tora,149.14,2354.92,UAE,B,Completed,2023-11-18,2023-12-09,351212.77
190,Sesame Seed,177.8,897.38,Netherlands,A,Completed,2025-04-29,2025-05-14,159554.16
191,Cassia Tora,128.9,1868.23,China,C,Completed,2024-09-25,2024-10-15,240814.85
192,Sesame Seed,168.01,1301.24,Netherlands,A,Completed,2024-09-16,2024-10-06,218621.33
193,Soya Beans,111.81,2458.6,UAE,A,Completed,2025-03-10,2025-04-03,274896.07
194,Sesame Seed,154.77,2452.92,Vietnam,C,Pending,2024-10-03,,379638.43
195,Soya Beans,141.35,1464.22,Netherlands,A,Completed,2025-02-05,2025-02-28,206967.5
196,Sesame Seed,150.1,1058.07,China,A,Completed,2024-06-08,2024-06-26,158816.31
197,Sesame Seed,47.64,1188.01,Netherlands,B,Completed,2021-07-09,2021-07-22,56596.8
198,Sesame Seed,31.6,1086.19,UAE,B,Completed,2024-06-02,2024-07-08,34323.6
199,Cassia Tora,130.95,428.85,UAE,B,Cancelled,2024-11-09,,56157.91
200,Hibiscus,97.09,409.51,Netherlands,A,Completed,2024-11-01,2024-12-04,39759.33
201,Hibiscus,153.17,1534.78,China,C,Pending,2024-07-30,,235082.25
202,Cassia Tora,30.15,1565.61,India,B,Pending,2022-09-25,,47203.14
203,Sesame Seed,189.59,460.03,UAE,B,Completed,2022-09-20,2022-10-05,87217.09
204,Sesame Seed,141.1,1151.35,China,B,Completed,2023-08-31,2023-10-01,162455.48
205,Cassia Tora,5.57,2324.12,Vietnam,C,Completed,2024-07-06,2024-07-10,12945.35
206,Soya Beans,115.73,1260.76,UAE,A,Completed,2024-10-14,2024-11-20,145907.75
207,Soya Beans,63.21,1083.67,Netherlands,B,Completed,2022-12-11,2022-12-16,68498.78
208,Cassia Tora,55.66,459.86,Netherlands,C,Completed,2025-01-19,2025-03-03,25595.81
209,Hibiscus,180.53,2119.46,Netherlands,A,Completed,2024-12-05,2024-12-29,382626.11
210,Soya Beans,167.35,1599.55,India,B,Completed,2022-10-11,2022-10-31,267684.69
211,Cassia Tora,2.9,670.53,Netherlands,B,Cancelled,2021-11-14,,1944.54
212,Soya Beans,37.15,1214.06,Netherlands,A,Completed,2024-06-02,2024-07-03,45102.33
213,Cassia Tora,144.19,1904.38,Turkey,B,Pending,2024-06-11,,274592.55
214,Soya Beans,169.79,883.02,Netherlands,A,Completed,2022-11-15,2022-12-01,149927.97
215,Soya Beans,143.8,1370.51,UAE,A,Completed,2022-10-26,2022-12-08,197079.34
216,Cassia Tora,105.54,1494.91,Netherlands,B,Completed,2024-10-29,2024-12-08,157772.8
217,Hibiscus,196.93,1871.07,China,A,Pending,2025-02-04,,368469.82
218,Hibiscus,159.66,1559.86,China,A,Cancelled,2024-06-10,,249047.25
219,Soya Beans,94.12,1304.03,UAE,A,Completed,2024-02-11,2024-03-25,122735.3
220,Soya Beans,117.11,680.4,India,B,Cancelled,2025-03-01,,79681.64
221,Hibiscus,9.92,982.15,Turkey,B,Pending,2022-03-18,,9742.93
222,Cassia Tora,192.98,1150.07,Netherlands,B,Cancelled,2022-07-18,,221940.51
223,Sesame Seed,73.19,2310.9,China,C,Completed,2024-07-15,2024-08-01,169134.77
224,Soya Beans,132.64,1747.28,China,A,Completed,2025-03-14,2025-03-25,231759.22
225,Sesame Seed,133.72,1490.45,Vietnam,B,Completed,2024-11-10,2024-12-19,199302.97
226,Soya Beans,12.33,1422.14,China,A,Completed,2024-11-11,2024-12-10,17534.99
227,Hibiscus,53.9,1742.41,UAE,C,Completed,2024-02-11,2024-03-19,93915.9
228,Cassia Tora,131.58,804.82,China,C,Completed,2023-08-10,2023-08-17,105898.22
229,Soya Beans,182.52,1241.96,Vietnam,A,Cancelled,2024-01-10,,226682.54
230,Sesame Seed,155.95,1541.7,Netherlands,C,Completed,2022-11-30,2022-12-29,240428.12
231,Hibiscus,116.45,1108.98,UAE,A,Completed,2021-04-23,2021-05-07,129140.72
232,Soya Beans,47.26,414.65,Netherlands,B,Completed,2021-01-02,2021-02-06,19596.36
233,Cassia Tora,189.82,1242.85,UAE,B,Pending,2022-10-04,,235917.79
234,Soya Beans,81.33,605.86,China,A,Completed,2021-08-08,2021-09-02,49274.59
235,Cassia Tora,30.83,2024.8,Turkey,B,Pending,2025-05-09,,62424.58
236,Cassia Tora,5.31,1412.06,India,A,Pending,2023-05-05,,7498.04
237,Hibiscus,190.08,2426.15,Netherlands,C,Completed,2024-06-02,2024-06-19,461162.59
238,Soya Beans,155.81,1106.01,Netherlands,C,Completed,2022-01-20,2022-02-01,172327.42
239,Cassia Tora,44.06,883.82,Vietnam,C,Pending,2024-11-27,,38941.11
240,Hibiscus,29.21,2494.7,Vietnam,B,Completed,2024-02-28,2024-03-21,72870.19
241,Soya Beans,191.94,1011.08,India,C,Pending,2023-12-13,,194066.7
242,Cassia Tora,48.92,1178.94,Vietnam,A,Completed,2022-12-31,2023-02-10,57673.74
243,Hibiscus,92.93,321.48,UAE,A,Completed,2024-12-10,2024-12-26,29875.14
244,Soya Beans,122.56,765.51,Turkey,A,Completed,2021-09-04,2021-09-19,93820.91
245,Cassia Tora,13.41,2006.42,Vietnam,B,Completed,2023-04-16,2023-05-30,26906.09
246,Hibiscus,69.54,1852.28,China,C,Completed,2025-01-02,2025-01-07,128807.55
247,Hibiscus,188.78,1182.14,China,A,Completed,2021-07-22,2021-08-08,223164.39
248,Soya Beans,140.37,2320.43,China,B,Completed,2024-04-22,2024-05-24,325718.76
249,Hibiscus,74.19,1495.25,India,B,Completed,2021-05-03,2021-05-09,110932.6
250,Soya Beans,158.55,1683.77,India,A,Cancelled,2022-02-05,,266961.73
251,Soya Beans,167.6,2067.74,UAE,B,Completed,2023-02-06,2023-03-10,346553.22
252,Cassia Tora,31.2,1847.52,Netherlands,A,Pending,2021-10-21,,57642.62
253,Soya Beans,117.73,628.48,China,B,Cancelled,2021-10-07,,73990.95
254,Hibiscus,73.98,1351.91,Netherlands,B,Pending,2023-06-03,,100014.3
255,Soya Beans,101.87,1627.72,Turkey,A,Pending,2021-07-17,,165815.84
256,Cassia Tora,94.34,412.04,China,B,Pending,2023-09-09,,38871.85
257,Hibiscus,101.26,840.11,Turkey,B,Completed,2025-03-15,2025-03-21,85069.54
258,Cassia Tora,104.87,2023.41,Vietnam,B,Pending,2023-01-22,,212195.01
259,Sesame Seed,14.78,2401.25,Turkey,B,Completed,2021-05-24,2021-06-08,35490.48
260,Cassia Tora,36.36,2456.76,UAE,B,Completed,2022-09-01,2022-09-04,89327.79
261,Sesame Seed,113.67,1879.79,Vietnam,A,Completed,2024-05-09,2024-05-16,213675.73
262,Sesame Seed,187.27,1845.17,China,A,Completed,2024-02-22,2024-02-29,345544.99
263,Soya Beans,149.56,1853.69,India,C,Completed,2021-07-06,2021-07-24,277237.88
264,Hibiscus,48.49,951.81,Turkey,B,Pending,2024-09-11,,46153.27
265,Soya Beans,72.98,1204.21,Vietnam,A,Completed,2022-04-09,2022-05-13,87883.25
266,Hibiscus,67.74,694.52,India,B,Completed,2024-10-04,2024-10-13,47046.78
267,Cassia Tora,154.13,1334.41,Netherlands,B,Pending,2022-10-22,,205672.61
268,Sesame Seed,194.47,389.36,China,A,Completed,2023-02-03,2023-02-12,75718.84
269,Sesame Seed,71.73,2123.6,China,A,Completed,2023-08-13,2023-08-23,152325.83
270,Sesame Seed,3.94,2384.41,UAE,B,Completed,2022-02-07,2022-02-10,9394.58
271,Cassia Tora,187.44,603.92,China,B,Completed,2024-10-01,2024-11-11,113198.76
272,Cassia Tora,150.89,1366.65,India,A,Completed,2025-03-15,2025-04-20,206213.82
273,Soya Beans,167.04,1266.95,Turkey,C,Completed,2021-05-27,2021-06-05,211631.33
274,Soya Beans,42.53,1940.7,China,A,Completed,2024-03-17,2024-03-25,82537.97
275,Hibiscus,129.49,1431.68,China,B,Completed,2023-05-14,2023-05-25,185388.24
276,Hibiscus,47.31,1282.98,UAE,C,Completed,2022-05-04,2022-06-07,60697.78
277,Sesame Seed,3.31,607.38,Vietnam,A,Completed,2023-07-18,2023-08-27,2010.43
278,Cassia Tora,32.26,928.96,Netherlands,C,Completed,2022-07-05,2022-07-16,29968.25
279,Cassia Tora,184.64,1593.09,UAE,A,Completed,2021-12-04,2021-12-21,294148.14
280,Soya Beans,43.85,389.59,Netherlands,A,Completed,2023-05-22,2023-06-02,17083.52
281,Soya Beans,117.44,1034.04,Turkey,A,Pending,2022-10-03,,121437.66
282,Hibiscus,193.63,615.15,UAE,A,Cancelled,2022-04-18,,119111.49
283,Hibiscus,16.06,467.4,India,C,Completed,2021-05-31,2021-07-03,7506.44
284,Soya Beans,161.78,1237.74,Netherlands,B,Completed,2024-12-09,2024-12-12,200241.58
285,Soya Beans,119.91,972.13,Vietnam,B,Completed,2024-08-14,2024-09-05,116568.11
286,Cassia Tora,65.36,1558.15,India,A,Completed,2021-09-20,2021-10-31,101840.68
287,Hibiscus,73.49,750.91,Vietnam,A,Pending,2021-05-24,,55184.38
288,Soya Beans,6.41,422.02,UAE,A,Completed,2021-12-12,2022-01-08,2705.15
289,Soya Beans,51.91,377.25,UAE,A,Completed,2022-09-16,2022-10-24,19583.05
290,Sesame Seed,85.26,1249.91,Netherlands,A,Completed,2023-10-14,2023-11-17,106567.33
291,Soya Beans,143.67,317.23,China,A,Cancelled,2025-05-15,,45576.43
292,Soya Beans,55.68,423.2,China,B,Completed,2023-05-31,2023-06-13,23563.78
293,Cassia Tora,116.48,1055.51,Vietnam,A,Completed,2021-01-02,2021-01-25,122945.8
294,Soya Beans,146.61,2369.36,UAE,B,Completed,2023-06-16,2023-07-28,347371.87
295,Hibiscus,140.01,1873.81,UAE,B,Completed,2024-08-20,2024-09-30,262352.14
296,Sesame Seed,118.47,1927.04,Turkey,A,Completed,2021-09-11,2021-10-09,228296.43
297,Cassia Tora,116.46,675.45,Turkey,A,Completed,2022-03-29,2022-05-04,78662.91
298,Hibiscus,144.52,1554.81,Turkey,A,Completed,2023-11-27,2023-12-13,224701.14
299,Sesame Seed,67.77,808.17,Turkey,A,Completed,2024-03-29,2024-04-07,54769.68
300,Sesame Seed,90.59,1440.26,UAE,C,Completed,2023-10-12,2023-10-23,130473.15
